SBD,Cụm thi,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lí,HóaHọc,Sinh Học,Lịch Sử,Địa Lý,Giáo dục công dân
01000056,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,9.25,8.80,,,,6.50,6.00,6.75
01000057,Cụm thi: 01 - Sở GDĐT Hà Nội,9.20,7.50,8.80,7.75,5.75,5.75,,,
01000058,Cụm thi: 01 - Sở GDĐT Hà Nội,7.60,7.50,9.20,,,,8.50,8.00,9.00
01000059,Cụm thi: 01 - Sở GDĐT Hà Nội,8.40,6.00,9.20,4.75,5.25,6.25,,,
01000060,Cụm thi: 01 - Sở GDĐT Hà Nội,,6.25,,,,,5.50,6.75,
01000061,Cụm thi: 01 - Sở GDĐT Hà Nội,6.00,6.50,8.60,,,,7.50,8.75,8.50
01000062,Cụm thi: 01 - Sở GDĐT Hà Nội,8.60,8.00,8.60,8.50,2.25,6.25,,,
01000063,Cụm thi: 01 - Sở GDĐT Hà Nội,5.40,9.00,7.40,,,,7.25,6.00,8.00
01000064,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,9.00,9.20,,,,8.75,8.00,9.75
01000065,Cụm thi: 01 - Sở GDĐT Hà Nội,7.60,9.25,9.60,,,,8.50,7.50,9.50
01000066,Cụm thi: 01 - Sở GDĐT Hà Nội,9.00,8.75,7.40,7.00,4.75,6.25,,,
01000067,Cụm thi: 01 - Sở GDĐT Hà Nội,8.40,6.75,8.80,6.50,3.00,5.75,,,
01000068,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,7.00,7.20,7.25,2.50,4.25,,,
01000069,Cụm thi: 01 - Sở GDĐT Hà Nội,7.40,8.25,8.00,4.25,4.25,5.25,,,
01000070,Cụm thi: 01 - Sở GDĐT Hà Nội,8.60,7.75,8.60,8.00,4.00,3.75,,,
01000071,Cụm thi: 01 - Sở GDĐT Hà Nội,6.60,9.00,8.20,,,,9.00,8.50,8.50
01000072,Cụm thi: 01 - Sở GDĐT Hà Nội,7.00,8.75,8.40,,,,7.75,7.50,8.50
01000073,Cụm thi: 01 - Sở GDĐT Hà Nội,8.00,6.75,6.00,7.00,5.00,3.50,,,
01000074,Cụm thi: 01 - Sở GDĐT Hà Nội,7.60,6.50,8.60,,,,6.75,6.50,9.00
01000075,Cụm thi: 01 - Sở GDĐT Hà Nội,7.60,9.25,8.00,,,,6.75,8.00,9.50
01000076,Cụm thi: 01 - Sở GDĐT Hà Nội,6.40,9.00,7.00,,,,6.75,6.50,7.25
01000077,Cụm thi: 01 - Sở GDĐT Hà Nội,8.00,9.50,8.80,,,,5.50,8.25,7.50
01000078,Cụm thi: 01 - Sở GDĐT Hà Nội,7.80,8.75,6.80,,,,6.25,7.50,8.25
01000079,Cụm thi: 01 - Sở GDĐT Hà Nội,3.60,8.00,,,,,6.00,7.00,
01000080,Cụm thi: 01 - Sở GDĐT Hà Nội,8.60,8.75,8.40,8.75,5.50,4.75,,,
01000081,Cụm thi: 01 - Sở GDĐT Hà Nội,3.00,7.25,7.40,,,,6.25,6.50,6.00
01000082,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,7.75,8.60,3.75,7.25,8.25,,,
01000083,Cụm thi: 01 - Sở GDĐT Hà Nội,7.40,8.50,8.40,7.00,5.25,5.75,,,
01000084,Cụm thi: 01 - Sở GDĐT Hà Nội,6.60,5.00,,,,,7.50,6.75,
01000085,Cụm thi: 01 - Sở GDĐT Hà Nội,,7.75,,,,,8.25,6.25,
01000086,Cụm thi: 01 - Sở GDĐT Hà Nội,7.60,9.00,7.00,,,,6.50,6.25,7.00
01000087,Cụm thi: 01 - Sở GDĐT Hà Nội,7.40,8.50,8.00,,,,6.50,7.25,8.25
01000088,Cụm thi: 01 - Sở GDĐT Hà Nội,7.00,9.00,8.00,,,,6.75,7.25,9.00
01000089,Cụm thi: 01 - Sở GDĐT Hà Nội,7.60,7.50,8.40,,,,5.75,8.25,8.25
01000090,Cụm thi: 01 - Sở GDĐT Hà Nội,7.80,8.50,5.60,8.50,8.25,5.00,,,
01000091,Cụm thi: 01 - Sở GDĐT Hà Nội,7.80,8.75,8.60,,,,8.50,8.75,8.50
